,0
0,All Occupations
1,Architecture and Engineering Occupations
2,"Arts, Design, Entertainment, Sports, and Media Occupations"
3,Building and Grounds Cleaning and Maintenance Occupations
4,Business and Financial Operations Occupations
5,Community and Social Service Occupations
6,Computer and Mathematical Occupations
7,Construction and Extraction Occupations
8,Educational Instruction and Library Occupations
9,"Farming, Fishing, and Forestry Occupations"
10,Food Preparation and Serving Related Occupations
11,Healthcare Practitioners and Technical Occupations
12,Healthcare Support Occupations
13,"Installation, Maintenance, and Repair Occupations"
14,Legal Occupations
15,"Life, Physical, and Social Science Occupations"
16,Management Occupations
17,Office and Administrative Support Occupations
18,Personal Care and Service Occupations
19,Production Occupations
20,Protective Service Occupations
21,Sales and Related Occupations
22,Transportation and Material Moving Occupations
