,Unnamed: 0,PRIM_STATE,OCC_TITLE,O_GROUP,A_MEAN,Index,norm_sal_mean
0,0,AL,All Occupations,total,46840,88.8,52747
1,1,AL,Management Occupations,major,110040,88.8,123918
2,2,AL,Chief Executives,detailed,174910,88.8,196970
3,3,AL,General and Operations Managers,detailed,121800,88.8,137162
4,4,AL,Legislators,detailed,28840,88.8,32477
5,5,AL,Advertising and Promotions Managers,detailed,114000,88.8,128378
6,6,AL,Marketing Managers,detailed,123590,88.8,139177
7,7,AL,Sales Managers,detailed,114590,88.8,129042
8,8,AL,Public Relations and Fundraising Managers,detailed,91710,88.8,103277
9,9,AL,Administrative Services and Facilities Managers,detailed,110550,88.8,124493
10,10,AL,Computer and Information Systems Managers,detailed,129410,88.8,145731
11,11,AL,Financial Managers,detailed,132360,88.8,149054
12,12,AL,Industrial Production Managers,detailed,113310,88.8,127601
13,13,AL,Purchasing Managers,detailed,112940,88.8,127184
14,14,AL,"Transportation, Storage, and Distribution Managers",detailed,100080,88.8,112702
15,15,AL,Compensation and Benefits Managers,detailed,109770,88.8,123614
16,16,AL,Human Resources Managers,detailed,113430,88.8,127736
17,17,AL,Training and Development Managers,detailed,105150,88.8,118412
18,18,AL,Construction Managers,detailed,97280,88.8,109549
19,19,AL,"Education and Childcare Administrators, Preschool and Daycare",detailed,52520,88.8,59144
20,20,AL,"Education Administrators, Kindergarten through Secondary",detailed,83680,88.8,94234
21,21,AL,"Education Administrators, Postsecondary",detailed,109990,88.8,123862
22,22,AL,Architectural and Engineering Managers,detailed,150770,88.8,169786
23,23,AL,Food Service Managers,detailed,59270,88.8,66745
24,24,AL,Lodging Managers,detailed,60020,88.8,67590
25,25,AL,Medical and Health Services Managers,detailed,93330,88.8,105101
26,26,AL,Natural Sciences Managers,detailed,120780,88.8,136013
27,27,AL,Postmasters and Mail Superintendents,detailed,82020,88.8,92364
28,28,AL,"Property, Real Estate, and Community Association Managers",detailed,53960,88.8,60765
29,29,AL,Social and Community Service Managers,detailed,63320,88.8,71306
30,30,AL,Emergency Management Directors,detailed,74900,88.8,84346
31,31,AL,Funeral Home Managers,detailed,73230,88.8,82466
32,32,AL,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,107740,88.8,121328
33,33,AL,Business and Financial Operations Occupations,major,74820,88.8,84256
34,34,AL,Buyers and Purchasing Agents,detailed,70970,88.8,79921
35,35,AL,"Claims Adjusters, Examiners, and Investigators",detailed,68130,88.8,76722
36,36,AL,"Insurance Appraisers, Auto Damage",detailed,67940,88.8,76509
37,37,AL,Compliance Officers,detailed,70740,88.8,79662
38,38,AL,Cost Estimators,detailed,63090,88.8,71047
39,39,AL,Human Resources Specialists,detailed,63230,88.8,71204
40,40,AL,Labor Relations Specialists,detailed,54040,88.8,60855
41,41,AL,Logisticians,detailed,87080,88.8,98063
42,42,AL,Management Analysts,detailed,98440,88.8,110855
43,43,AL,"Meeting, Convention, and Event Planners",detailed,47630,88.8,53637
44,44,AL,Fundraisers,detailed,50910,88.8,57331
45,45,AL,"Compensation, Benefits, and Job Analysis Specialists",detailed,62980,88.8,70923
46,46,AL,Training and Development Specialists,detailed,68000,88.8,76576
47,47,AL,Market Research Analysts and Marketing Specialists,detailed,62850,88.8,70777
48,48,AL,"Project Management Specialists and Business Operations Specialists, All Other",detailed,89390,88.8,100664
49,49,AL,Accountants and Auditors,detailed,71940,88.8,81013
50,50,AL,Property Appraisers and Assessors,detailed,57350,88.8,64583
51,51,AL,Budget Analysts,detailed,87670,88.8,98727
52,52,AL,Credit Analysts,detailed,77800,88.8,87612
53,53,AL,Personal Financial Advisors,detailed,133020,88.8,149797
54,54,AL,Insurance Underwriters,detailed,76160,88.8,85765
55,55,AL,Financial Examiners,detailed,61370,88.8,69110
56,56,AL,Credit Counselors,detailed,47120,88.8,53063
57,57,AL,Loan Officers,detailed,73060,88.8,82274
58,58,AL,"Tax Examiners and Collectors, and Revenue Agents",detailed,59210,88.8,66677
59,59,AL,Tax Preparers,detailed,35050,88.8,39470
60,60,AL,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",detailed,91920,88.8,103513
61,61,AL,Computer and Mathematical Occupations,major,86720,88.8,97657
62,62,AL,Computer Systems Analysts,detailed,93530,88.8,105326
63,63,AL,Information Security Analysts,detailed,86640,88.8,97567
64,64,AL,Computer and Information Research Scientists,detailed,126550,88.8,142511
65,65,AL,Computer Network Support Specialists,detailed,63740,88.8,71779
66,66,AL,Computer User Support Specialists,detailed,50790,88.8,57195
67,67,AL,Computer Network Architects,detailed,110510,88.8,124448
68,68,AL,Network and Computer Systems Administrators,detailed,77250,88.8,86993
69,69,AL,Database Administrators and Architects,detailed,85600,88.8,96396
70,70,AL,Computer Programmers,detailed,88040,88.8,99144
71,71,AL,Software Developers and Software Quality Assurance Analysts and Testers,detailed,102920,88.8,115900
72,72,AL,Web Developers and Digital Interface Designers,detailed,71190,88.8,80168
73,73,AL,"Computer Occupations, All Other",detailed,86320,88.8,97207
74,74,AL,Actuaries,detailed,128230,88.8,144403
75,75,AL,Operations Research Analysts,detailed,102100,88.8,114977
76,76,AL,Statisticians,detailed,65990,88.8,74313
77,77,AL,"Data Scientists and Mathematical Science Occupations, All Other",detailed,89650,88.8,100957
78,78,AL,Architecture and Engineering Occupations,major,90900,88.8,102364
79,79,AL,"Architects, Except Landscape and Naval",detailed,93000,88.8,104729
80,80,AL,Landscape Architects,detailed,62620,88.8,70518
81,81,AL,Cartographers and Photogrammetrists,detailed,69450,88.8,78209
82,82,AL,Surveyors,detailed,53610,88.8,60371
83,83,AL,Aerospace Engineers,detailed,123200,88.8,138738
84,84,AL,Agricultural Engineers,detailed,87250,88.8,98254
85,85,AL,Bioengineers and Biomedical Engineers,detailed,86930,88.8,97894
86,86,AL,Chemical Engineers,detailed,105020,88.8,118265
87,87,AL,Civil Engineers,detailed,93530,88.8,105326
88,88,AL,Computer Hardware Engineers,detailed,116500,88.8,131193
89,89,AL,Electrical Engineers,detailed,104670,88.8,117871
90,90,AL,"Electronics Engineers, Except Computer",detailed,113830,88.8,128186
91,91,AL,Environmental Engineers,detailed,84570,88.8,95236
92,92,AL,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,103530,88.8,116587
93,93,AL,Industrial Engineers,detailed,92070,88.8,103682
94,94,AL,Materials Engineers,detailed,93880,88.8,105720
95,95,AL,Mechanical Engineers,detailed,95530,88.8,107578
96,96,AL,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,90270,88.8,101655
97,97,AL,Nuclear Engineers,detailed,120000,88.8,135135
98,98,AL,Petroleum Engineers,detailed,128870,88.8,145123
99,99,AL,"Engineers, All Other",detailed,124560,88.8,140270
100,100,AL,Architectural and Civil Drafters,detailed,54520,88.8,61396
101,101,AL,Electrical and Electronics Drafters,detailed,51380,88.8,57860
102,102,AL,Mechanical Drafters,detailed,53950,88.8,60754
103,103,AL,"Drafters, All Other",detailed,43780,88.8,49301
104,104,AL,Aerospace Engineering and Operations Technologists and Technicians,detailed,66840,88.8,75270
105,105,AL,Civil Engineering Technologists and Technicians,detailed,51680,88.8,58198
106,106,AL,Electrical and Electronic Engineering Technologists and Technicians,detailed,63210,88.8,71182
107,107,AL,Electro-Mechanical and Mechatronics Technologists and Technicians,detailed,0,88.8,0
108,108,AL,Environmental Engineering Technologists and Technicians,detailed,50620,88.8,57004
109,109,AL,Industrial Engineering Technologists and Technicians,detailed,58070,88.8,65394
110,110,AL,Mechanical Engineering Technologists and Technicians,detailed,57600,88.8,64864
111,111,AL,Surveying and Mapping Technicians,detailed,46360,88.8,52207
112,112,AL,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",detailed,64640,88.8,72792
113,113,AL,"Life, Physical, and Social Science Occupations",major,67030,88.8,75484
114,114,AL,Food Scientists and Technologists,detailed,60350,88.8,67961
115,115,AL,Soil and Plant Scientists,detailed,65390,88.8,73637
116,116,AL,Biochemists and Biophysicists,detailed,65600,88.8,73873
117,117,AL,Microbiologists,detailed,66930,88.8,75371
118,118,AL,Zoologists and Wildlife Biologists,detailed,59940,88.8,67500
119,119,AL,"Biological Scientists, All Other",detailed,67330,88.8,75822
120,120,AL,Conservation Scientists,detailed,71230,88.8,80213
121,121,AL,Foresters,detailed,65970,88.8,74290
122,122,AL,Epidemiologists,detailed,68080,88.8,76666
123,123,AL,"Medical Scientists, Except Epidemiologists",detailed,67600,88.8,76126
124,124,AL,Physicists,detailed,116690,88.8,131407
125,125,AL,Atmospheric and Space Scientists,detailed,87580,88.8,98626
126,126,AL,Chemists,detailed,82850,88.8,93299
127,127,AL,Materials Scientists,detailed,75330,88.8,84831
128,128,AL,"Environmental Scientists and Specialists, Including Health",detailed,65160,88.8,73378
129,129,AL,"Geoscientists, Except Hydrologists and Geographers",detailed,72880,88.8,82072
130,130,AL,"Physical Scientists, All Other",detailed,123380,88.8,138941
131,131,AL,Economists,detailed,117740,88.8,132590
132,132,AL,"Clinical, Counseling, and School Psychologists",detailed,67450,88.8,75957
133,133,AL,"Psychologists, All Other",detailed,95360,88.8,107387
134,134,AL,Urban and Regional Planners,detailed,59270,88.8,66745
135,135,AL,Anthropologists and Archeologists,detailed,53080,88.8,59774
136,136,AL,Historians,detailed,72960,88.8,82162
137,137,AL,"Social Scientists and Related Workers, All Other",detailed,90100,88.8,101463
138,138,AL,Agricultural and Food Science Technicians,detailed,40440,88.8,45540
139,139,AL,Biological Technicians,detailed,39380,88.8,44346
140,140,AL,Chemical Technicians,detailed,55440,88.8,62432
141,141,AL,"Environmental Science and Protection Technicians, Including Health",detailed,59520,88.8,67027
142,142,AL,Geological and Hydrologic Technicians,detailed,51780,88.8,58310
143,143,AL,Social Science Research Assistants,detailed,32900,88.8,37049
144,144,AL,Forest and Conservation Technicians,detailed,47280,88.8,53243
145,145,AL,Forensic Science Technicians,detailed,51320,88.8,57792
146,146,AL,"Life, Physical, and Social Science Technicians, All Other",detailed,50160,88.8,56486
147,147,AL,Occupational Health and Safety Specialists,detailed,79120,88.8,89099
148,148,AL,Occupational Health and Safety Technicians,detailed,52710,88.8,59358
149,149,AL,Community and Social Service Occupations,major,45410,88.8,51137
150,150,AL,"Educational, Guidance, and Career Counselors and Advisors",detailed,53660,88.8,60427
151,151,AL,Marriage and Family Therapists,detailed,42830,88.8,48231
152,152,AL,Rehabilitation Counselors,detailed,46320,88.8,52162
153,153,AL,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,43100,88.8,48536
154,154,AL,"Counselors, All Other",detailed,42050,88.8,47353
155,155,AL,"Child, Family, and School Social Workers",detailed,44150,88.8,49718
156,156,AL,Healthcare Social Workers,detailed,48310,88.8,54403
157,157,AL,Mental Health and Substance Abuse Social Workers,detailed,37850,88.8,42623
158,158,AL,"Social Workers, All Other",detailed,62390,88.8,70259
159,159,AL,Health Education Specialists,detailed,51550,88.8,58051
160,160,AL,Probation Officers and Correctional Treatment Specialists,detailed,48790,88.8,54943
161,161,AL,Social and Human Service Assistants,detailed,28770,88.8,32398
162,162,AL,Community Health Workers,detailed,42030,88.8,47331
163,163,AL,"Community and Social Service Specialists, All Other",detailed,39950,88.8,44988
164,164,AL,Clergy,detailed,48730,88.8,54876
165,165,AL,"Directors, Religious Activities and Education",detailed,72060,88.8,81148
166,166,AL,Legal Occupations,major,88270,88.8,99403
167,167,AL,Lawyers,detailed,121130,88.8,136407
168,168,AL,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,121060,88.8,136328
169,169,AL,"Arbitrators, Mediators, and Conciliators",detailed,66840,88.8,75270
170,170,AL,"Judges, Magistrate Judges, and Magistrates",detailed,58310,88.8,65664
171,171,AL,Paralegals and Legal Assistants,detailed,49150,88.8,55349
172,172,AL,"Title Examiners, Abstractors, and Searchers",detailed,45250,88.8,50957
173,173,AL,"Legal Support Workers, All Other",detailed,59080,88.8,66531
174,174,AL,Educational Instruction and Library Occupations,major,52360,88.8,58963
175,175,AL,"Business Teachers, Postsecondary",detailed,106470,88.8,119898
176,176,AL,"Computer Science Teachers, Postsecondary",detailed,101400,88.8,114189
177,177,AL,"Mathematical Science Teachers, Postsecondary",detailed,69840,88.8,78648
178,178,AL,"Architecture Teachers, Postsecondary",detailed,94250,88.8,106137
179,179,AL,"Engineering Teachers, Postsecondary",detailed,115520,88.8,130090
180,180,AL,"Agricultural Sciences Teachers, Postsecondary",detailed,97960,88.8,110315
181,181,AL,"Biological Science Teachers, Postsecondary",detailed,0,88.8,0
182,182,AL,"Forestry and Conservation Science Teachers, Postsecondary",detailed,95200,88.8,107207
183,183,AL,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed,86080,88.8,96936
184,184,AL,"Chemistry Teachers, Postsecondary",detailed,83460,88.8,93986
185,185,AL,"Environmental Science Teachers, Postsecondary",detailed,83730,88.8,94290
186,186,AL,"Physics Teachers, Postsecondary",detailed,92740,88.8,104436
187,187,AL,"Anthropology and Archeology Teachers, Postsecondary",detailed,79620,88.8,89662
188,188,AL,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detailed,116250,88.8,130912
189,189,AL,"Economics Teachers, Postsecondary",detailed,134070,88.8,150979
190,190,AL,"Political Science Teachers, Postsecondary",detailed,78820,88.8,88761
191,191,AL,"Psychology Teachers, Postsecondary",detailed,81130,88.8,91362
192,192,AL,"Sociology Teachers, Postsecondary",detailed,62710,88.8,70619
193,193,AL,"Social Sciences Teachers, Postsecondary, All Other",detailed,80890,88.8,91092
194,194,AL,"Health Specialties Teachers, Postsecondary",detailed,102390,88.8,115304
195,195,AL,"Nursing Instructors and Teachers, Postsecondary",detailed,71950,88.8,81024
196,196,AL,"Education Teachers, Postsecondary",detailed,74580,88.8,83986
197,197,AL,"Library Science Teachers, Postsecondary",detailed,85930,88.8,96768
198,198,AL,"Criminal Justice and Law Enforcement Teachers, Postsecondary",detailed,72440,88.8,81576
199,199,AL,"Social Work Teachers, Postsecondary",detailed,69020,88.8,77725
200,200,AL,"Art, Drama, and Music Teachers, Postsecondary",detailed,67250,88.8,75731
201,201,AL,"Communications Teachers, Postsecondary",detailed,65310,88.8,73547
202,202,AL,"English Language and Literature Teachers, Postsecondary",detailed,60650,88.8,68299
203,203,AL,"Foreign Language and Literature Teachers, Postsecondary",detailed,63200,88.8,71171
204,204,AL,"History Teachers, Postsecondary",detailed,69160,88.8,77882
205,205,AL,"Philosophy and Religion Teachers, Postsecondary",detailed,66590,88.8,74988
206,206,AL,"Family and Consumer Sciences Teachers, Postsecondary",detailed,78630,88.8,88547
207,207,AL,"Recreation and Fitness Studies Teachers, Postsecondary",detailed,69250,88.8,77984
208,208,AL,"Career/Technical Education Teachers, Postsecondary",detailed,54680,88.8,61576
209,209,AL,"Postsecondary Teachers, All Other",detailed,84830,88.8,95529
210,210,AL,"Preschool Teachers, Except Special Education",detailed,23580,88.8,26554
211,211,AL,"Kindergarten Teachers, Except Special Education",detailed,49360,88.8,55585
212,212,AL,"Elementary School Teachers, Except Special Education",detailed,51280,88.8,57747
213,213,AL,"Middle School Teachers, Except Special and Career/Technical Education",detailed,52720,88.8,59369
214,214,AL,"Career/Technical Education Teachers, Middle School",detailed,51000,88.8,57432
215,215,AL,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,53170,88.8,59876
216,216,AL,"Career/Technical Education Teachers, Secondary School",detailed,73670,88.8,82961
217,217,AL,"Special Education Teachers, Preschool",detailed,46620,88.8,52500
218,218,AL,"Special Education Teachers, Kindergarten and Elementary School",detailed,50130,88.8,56452
219,219,AL,"Special Education Teachers, Middle School",detailed,54200,88.8,61036
220,220,AL,"Special Education Teachers, Secondary School",detailed,53370,88.8,60101
221,221,AL,"Special Education Teachers, All Other",detailed,61530,88.8,69290
222,222,AL,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",detailed,40470,88.8,45574
223,223,AL,Self-Enrichment Teachers,detailed,43100,88.8,48536
224,224,AL,"Substitute Teachers, Short-Term",detailed,19220,88.8,21644
225,225,AL,"Tutors and Teachers and Instructors, All Other",detailed,48910,88.8,55078
226,226,AL,Archivists,detailed,55250,88.8,62218
227,227,AL,Curators,detailed,55790,88.8,62826
228,228,AL,Museum Technicians and Conservators,detailed,43090,88.8,48524
229,229,AL,Librarians and Media Collections Specialists,detailed,53230,88.8,59943
230,230,AL,Library Technicians,detailed,32490,88.8,36587
231,231,AL,Farm and Home Management Educators,detailed,62380,88.8,70247
232,232,AL,Instructional Coordinators,detailed,72250,88.8,81362
233,233,AL,"Teaching Assistants, Postsecondary",detailed,29020,88.8,32680
234,234,AL,"Teaching Assistants, Except Postsecondary",detailed,21490,88.8,24200
235,235,AL,"Educational Instruction and Library Workers, All Other",detailed,40950,88.8,46114
236,236,AL,"Arts, Design, Entertainment, Sports, and Media Occupations",major,47480,88.8,53468
237,237,AL,Art Directors,detailed,74550,88.8,83952
238,238,AL,Craft Artists,detailed,31560,88.8,35540
239,239,AL,"Fine Artists, Including Painters, Sculptors, and Illustrators",detailed,58720,88.8,66126
240,240,AL,Special Effects Artists and Animators,detailed,67450,88.8,75957
241,241,AL,"Artists and Related Workers, All Other",detailed,67130,88.8,75596
242,242,AL,Commercial and Industrial Designers,detailed,70050,88.8,78885
243,243,AL,Floral Designers,detailed,26510,88.8,29853
244,244,AL,Graphic Designers,detailed,48640,88.8,54774
245,245,AL,Interior Designers,detailed,54250,88.8,61092
246,246,AL,Merchandise Displayers and Window Trimmers,detailed,32010,88.8,36047
247,247,AL,Set and Exhibit Designers,detailed,51200,88.8,57657
248,248,AL,Producers and Directors,detailed,61050,88.8,68750
249,249,AL,Coaches and Scouts,detailed,47340,88.8,53310
250,250,AL,Choreographers,detailed,38620,88.8,43490
251,251,AL,Music Directors and Composers,detailed,63070,88.8,71024
252,252,AL,Musicians and Singers,detailed,0,88.8,0
253,253,AL,"Miscellaneous Entertainers and Performers, Sports and Related Workers",detailed,0,88.8,0
